6;Mardi;SAE21;TD;numApogee;8h00;90;Viel;INFSARI;TD2-GEII-1A-FI;GEII-1A-FI;2dab5d2f-6c0c-4e80-86fa-668276eb736c
6;Lundi;Auto2;TD;numApogee;14h00;90;Cousin;TD1;TD-GEII-1A-APP;GEII-1A-APP;bd195b0a-6787-4fb7-81ab-97dbaefcc12a
6;Lundi;An2;TP;numApogee;15h30;90;Dequeker;LABO-LANGUES-GEII;TPG1A-GEII-1A-FI;GEII-1A-FI;021fca2e-28f4-4cdb-9a72-27578187053a
6;Mardi;CC2;TP;numApogee;15h30;90;Merle-des-isles;INFO1;TP2-GEII-1A-APP;GEII-1A-APP;ffb024c7-0d4c-42d1-96d3-d2b1ff256cf6
6;Mardi;Au4;CM;numApogee;8h00;60;Oukaour;TD1;GEII-2A-FI;GEII-2A-FI;eb97584f-30c8-4e98-916d-5a4a604db4c5
6;Lundi;Elen2;TD;numApogee;15h30;90;Makany;TD1;TD-GEII-1A-APP;GEII-1A-APP;e3ccdce5-8f8f-4cec-a2fc-da2e0b542a4d
6;Lundi;GenieElec4;CM;numApogee;9h30;60;Lepesteur;B6;GIM-2A-FI;GIM-2A-FI;bc501bcb-68b1-40da-8552-8fb53208ff4a
6;Mardi;CC2;TP;numApogee;8h00;90;Merle-des-isles;INFO1;TP1-GEII-1A-APP;GEII-1A-APP;cf30180b-c902-49ec-9d70-abb6de88edd5
6;Vendredi;SAE21;TP;numApogee;8h00;270;Viel;1PRO1;TP2-GEII-1A-APP;GEII-1A-APP;cd6f735d-6dc5-4872-b33b-f7aed209aea3
6;Mercredi;Auto2;TD;numApogee;17h00;90;Lievin;TD5;TD2-GEII-1A-FI;GEII-1A-FI;f73ecd48-8e84-4103-8d20-11a3c2ffc0c9
6;Mercredi;Info2;TD;numApogee;9h30;90;Viel;TD2;TD-GEII-1A-APP;GEII-1A-APP;e774aae8-9925-442a-9e3f-6964defcc9e8
6;Lundi;An2;TD;numApogee;11h00;90;Dequeker;TD2;TD2-GEII-1A-FI;GEII-1A-FI;81152e2d-2245-46ed-9f7b-5b80e0673830
6;Mardi;ADE;TD;numApogee;9h30;90;Samyn;B6;GIM-2A-FI;GIM-2A-FI;2d659dde-b2aa-4960-805d-dfcff2f39245
6;Jeudi;ADE;TD;numApogee;11h00;90;Samyn;B6;GIM-2A-FI;GIM-2A-FI;1c422cd3-0b07-4169-930f-506785bb0cf5
6;Mardi;An4;TD;numApogee;11h00;90;Dequeker;TD1;TD1-GEII-2A-FI;GEII-2A-FI;272d1fbb-133d-413f-bfbc-83ae1529d57c
6;Mercredi;Ener2;CM;numApogee;11h00;60;Oukaour;TD5;GEII-1A-FI;GEII-1A-FI;0f63322f-fc41-4f6d-a053-729a177e1736
6;Lundi;ENA-A;TP;numApogee;14h00;180;Obeid;B4;TP2-GIM-1A-APP;GIM-1A-APP;63298d88-ec56-4a51-83ee-c0724847791b
6;Mercredi;MATH4;TD;numApogee;10h30;90;Pignoux;B6;TD-GIM-2A-FI;GIM-2A-FI;7aa119cf-4f10-405e-b368-47ecebc1acde
6;Mardi;SAE21;TD;numApogee;15h30;90;Viel;INFSARI;TD1-GEII-1A-FI;GEII-1A-FI;713a02e8-e539-4639-9b18-48a08cffa803
6;Mercredi;MecaFlu1-A;TD;numApogee;14h00;90;Roubaud;C1;TD-GIM-1A-APP;GIM-1A-APP;a95427bb-6efa-43aa-81b6-938efb595b43
6;Mardi;Therm4;TD;numApogee;15h30;90;Roubaud;B6;TD-GIM-2A-FI;GIM-2A-FI;ddca2866-a95c-4874-967f-776b8b52c29e
6;Mardi;Mecatron4;TD;numApogee;17h00;90;Lepesteur;B6;TD-GIM-2A-FI;GIM-2A-FI;f095125d-82b0-437e-844d-3238c00c238f
6;Mardi;Au4;TD;numApogee;9h00;90;Oukaour;TD1;TD1-GEII-2A-FI;GEII-2A-FI;a7bdf100-fe3f-42d3-87df-32fe73f62529
6;Mardi;Elen2;TD;numApogee;15h30;90;Makany;TD5;TD2-GEII-1A-FI;GEII-1A-FI;01fab3ff-6eb8-49a0-bd11-b1b9179dfa25
6;Lundi;Info2;TD;numApogee;17h00;90;Viel;TD5;TD2-GEII-1A-FI;GEII-1A-FI;9b2b889c-707e-4403-a4e4-998a2ddc5c40
6;Mercredi;SAE21;SAE;numApogee;14h00;90;Viel;1PRO1;GEII-1A-APP;GEII-1A-APP;07d561e4-69c2-4238-b376-1f6ae4693eec
6;Mercredi;Auto2;TP;numApogee;8h00;180;Cousin;1ATM2;TPG1BG2A-GEII-1A-FI;GEII-1A-FI;6c92fa6c-48f0-4393-8dcf-b40ff5b6ff00
6;Mercredi;Ener1_A;TP;numApogee;15h30;180;Tala-ighil;1ENER1;TP2-GEII-1A-APP;GEII-1A-APP;a1146a66-a72b-4f59-8655-56db3e3f1d3b
6;Lundi;CMEC2-A;TP;numApogee;8h00;180;Libine;B8;TP2-GIM-1A-APP;GIM-1A-APP;f90961ef-b567-4290-969e-fe4d5cc99b57
6;Mercredi;An4;TP;numApogee;17h00;90;Dequeker;TD1;TPG2B-GEII-2A-FI;GEII-2A-FI;f3ca6b58-6b1a-4bb2-a450-5d02131b4ab9
6;Lundi;Info2;TP;numApogee;8h00;180;Gougeon;1PRO1;TPG1A-GEII-1A-FI;GEII-1A-FI;095d36e1-f09f-40f5-b128-1414c15433a8
6;Mercredi;CMEC2-A;TP;numApogee;15h30;180;Libine;B8;TP1-GIM-1A-APP;GIM-1A-APP;60665a93-8a35-4e07-929a-d0bda89a5b4c
