38;Lundi;Maintenance;TD;numApogee;14h00;90;samyn;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD22
38;Jeudi;Méca;TD;numApogee;11h00;90;roubaud;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD12
38;Lundi;Elec;CM;numApogee;11h00;60;lepesteur;"[""Amphi A"", ""Amphi B"", ""Amphi C""]";GIM-1A-FI
38;Vendredi;AnaVib;CM;numApogee;9h30;60;libine;"[""Amphi A"", ""Amphi B"", ""Amphi C""]";GIM-2A-FI
38;Mercredi;Elec;TP;numApogee;9h30;180;lepesteur;"[""B4""]";TP31
38;Mercredi;Elec;TD;numApogee;8h00;90;lepesteur;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD11
38;Vendredi;Maintenance;TP;numApogee;14h00;180;samyn;"[""B8""]";TP31
38;Vendredi;Méca;TD;numApogee;9h30;90;roubaud;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD11
38;Lundi;Méca;TP;numApogee;15h30;180;roubaud;"[""A5""]";TP42
38;;Maintenance;TP;numApogee;;180;samyn;"[""B8""]";TP21
38;;Elec;TP;numApogee;;180;lepesteur;"[""B4""]";TP22
38;;Méca;TP;numApogee;;180;roubaud;"[""A5""]";TP41
38;;AnaVib;TP;numApogee;;180;libine;"[""B5""]";TP32
38;;Maintenance;TP;numApogee;;180;samyn;"[""B8""]";TP11
38;;Elec;TP;numApogee;;180;lepesteur;"[""B4""]";TP12
38;;Maintenance;TD;numApogee;;90;samyn;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD21
38;;Méca;TD;numApogee;;90;roubaud;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD22
38;;Maintenance;TD;numApogee;;90;samyn;"[""C1"", ""C2"", ""C5"", ""B1"", ""B6""]";TD11
38;;AnaVib;TP;numApogee;;180;libine;"[""B5""]";TP12
